number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i7-4800MQ,4,i7,Discontinued,4,2.70 GHz,2.70 GHz,47.0,yes,6,2013
i7-4770T,4,i7,Discontinued,4,2.50 GHz,2.50 GHz,45.0,yes,8,2013
i7-4770S,4,i7,Launched,4,3.10 GHz,3.10 GHz,65.0,yes,8,2013
i7-4770K,4,i7,Discontinued,4,3.50 GHz,3.50 GHz,84.0,yes,8,2013
i7-4770,4,i7,Discontinued,4,3.40 GHz,3.40 GHz,84.0,yes,8,2013
i7-4765T,4,i7,Discontinued,4,2.00 GHz,2.00 GHz,35.0,yes,8,2013
i7-4702MQ,4,i7,Discontinued,4,2.20 GHz,2.20 GHz,37.0,yes,6,2013
i7-4702HQ,4,i7,Discontinued,4,2.20 GHz,2.20 GHz,37.0,yes,6,2013
i7-4700HQ,4,i7,Discontinued,4,2.40 GHz,2.40 GHz,47.0,yes,6,2013
i7-4770TE,4,i7,Launched,4,2.30 GHz,2.30 GHz,45.0,yes,8,2013
i7-4700MQ,4,i7,Discontinued,4,2.40 GHz,2.40 GHz,47.0,yes,6,2013
i9-13900KS,13,i9,Launched,24,4.30 GHz,4.30 GHz,150.0,yes,36,2023
i9-13900T,13,i9,Launched,24,3.90 GHz,3.90 GHz,35.0,yes,36,2023
i9-13900,13,i9,Launched,24,4.20 GHz,4.20 GHz,65.0,yes,36,2023
i9-13900F,13,i9,Launched,24,4.20 GHz,4.20 GHz,65.0,yes,36,2023
i9-13900E,13,i9,Launched,24,1.80 GHz,1.80 GHz,65.0,yes,36,2023
i9-13900H,13,i9,Launched,14,4.10 GHz,4.10 GHz,45.0,yes,24,2023
i9-13980HX,13,i9,Launched,24,4.00 GHz,4.00 GHz,55.0,yes,36,2023
i9-13900HK,13,i9,Launched,14,4.10 GHz,4.10 GHz,45.0,yes,24,2023
i9-13950HX,13,i9,Launched,24,4.00 GHz,4.00 GHz,55.0,yes,36,2023
i9-13900TE,13,i9,Launched,24,1.00 GHz,1.00 GHz,35.0,yes,36,2023
i9-13900HX,13,i9,Launched,24,3.90 GHz,3.90 GHz,55.0,yes,36,2023
i9-13905H,13,i9,Launched,14,4.10 GHz,4.10 GHz,45.0,yes,24,2023
i9-13900K,13,i9,Launched,24,4.30 GHz,4.30 GHz,125.0,yes,36,2022
i9-13900KF,13,i9,Launched,24,4.30 GHz,4.30 GHz,125.0,yes,36,2022
i9-12900HX,12,i9,Launched,16,3.60 GHz,3.60 GHz,55.0,yes,30,2022
i9-12950HX,12,i9,Launched,16,3.60 GHz,3.60 GHz,55.0,yes,30,2022
i9-12900KS,12,i9,Launched,16,4.00 GHz,4.00 GHz,150.0,yes,30,2022
i9-12900E,12,i9,Launched,16,3.80 GHz,3.80 GHz,65.0,yes,30,2022
i9-12900H,12,i9,Launched,14,3.80 GHz,3.80 GHz,45.0,yes,24,2022
i9-12900HK,12,i9,Launched,14,3.80 GHz,3.80 GHz,45.0,yes,24,2022
i9-12900,12,i9,Launched,16,3.80 GHz,3.80 GHz,65.0,yes,30,2022
i9-12900F,12,i9,Launched,16,3.80 GHz,3.80 GHz,65.0,yes,30,2022
i9-12900T,12,i9,Launched,16,3.60 GHz,3.60 GHz,35.0,yes,30,2022
i9-12900TE,12,i9,Launched,16,3.60 GHz,3.60 GHz,35.0,yes,30,2022
i9-12900K,12,i9,Launched,16,3.90 GHz,3.90 GHz,125.0,yes,30,2021
i9-12900KF,12,i9,Launched,16,3.90 GHz,3.90 GHz,125.0,yes,30,2021
i9-11900H,11,i9,Launched,8,2.50 GHz,2.50 GHz,45.0,yes,24,2021
i9-11980HK,11,i9,Launched,8,3.30 GHz,3.30 GHz,65.0,yes,24,2021
i9-11950H,11,i9,Launched,8,2.60 GHz,2.60 GHz,45.0,yes,24,2021
i9-11900F,11,i9,Launched,8,2.50 GHz,2.50 GHz,65.0,yes,16,2021
i9-11900K,11,i9,Launched,8,3.50 GHz,3.50 GHz,125.0,yes,16,2021
i9-11900KF,11,i9,Launched,8,3.50 GHz,3.50 GHz,125.0,yes,16,2021
i9-11900T,11,i9,Launched,8,1.50 GHz,1.50 GHz,35.0,yes,16,2021
i9-11900,11,i9,Launched,8,2.50 GHz,2.50 GHz,65.0,yes,16,2021
i9-10850K,10,i9,Launched,10,3.60 GHz,3.60 GHz,125.0,yes,20,2020
i9-10885H,10,i9,Launched,8,2.40 GHz,2.40 GHz,45.0,yes,16,2020
i9-10900,10,i9,Launched,10,2.80 GHz,2.80 GHz,65.0,yes,20,2020
i9-10900E,10,i9,Launched,10,2.80 GHz,2.80 GHz,65.0,yes,20,2020
i9-10900TE,10,i9,Launched,10,1.80 GHz,1.80 GHz,35.0,yes,20,2020
i9-10900K,10,i9,Launched,10,3.70 GHz,3.70 GHz,125.0,yes,20,2020
i9-10900KF,10,i9,Launched,10,3.70 GHz,3.70 GHz,125.0,yes,20,2020
i9-10900F,10,i9,Launched,10,2.80 GHz,2.80 GHz,65.0,yes,20,2020
i9-10900T,10,i9,Launched,10,1.90 GHz,1.90 GHz,35.0,yes,20,2020
i9-10980HK,10,i9,Launched,8,2.40 GHz,2.40 GHz,45.0,yes,16,2020
i9-9900KS,9,i9,Discontinued,8,4.00 GHz,4.00 GHz,127.0,yes,16,2019
i9-9900T,9,i9,Launched,8,2.10 GHz,2.10 GHz,35.0,yes,16,2019
i9-9900,9,i9,Launched,8,3.10 GHz,3.10 GHz,65.0,yes,16,2019
i9-9880H,9,i9,Launched,8,2.30 GHz,2.30 GHz,45.0,yes,16,2019
i9-9980HK,9,i9,Launched,8,2.40 GHz,2.40 GHz,45.0,yes,16,2019
i9-9900KF,9,i9,Launched,8,3.60 GHz,3.60 GHz,95.0,yes,16,2019
i9-9900K,9,i9,Launched,8,3.60 GHz,3.60 GHz,95.0,yes,16,2018
i9-8950HK,8,i9,Launched,6,2.90 GHz,2.90 GHz,45.0,yes,12,2018
